MJD RA RAs_er Dec Decs_er Reference
54854.79289 19:58:21.67292565 4.249584454690135e-06 +35:12:05.72829450 5.9101607423148817e-05 Reid2011
54934.57445 19:58:21.67288710 4.199934036177128e-06 +35:12:05.72720200 5.8625932828399406e-05 Reid2011
55025.32598 19:58:21.67277459 4.180050092775798e-06 +35:12:05.72610300 5.8283788483591214e-05 Reid2011
55136.02289 19:58:21.67263540 4.261377183527788e-06 +35:12:05.72375600 5.954829972383762e-05 Reid2011
55221.78809 19:58:21.67262317 4.2276066819205545e-06 +35:12:05.72170050 5.8847259919217985e-05 Reid2011
57537.43716 19:58:21.67067129 2.796992512578769e-06 +35:12:05.68273035 4.786422881442884e-05 Miller-Jones
57538.43443 19:58:21.67066201 2.8726933555368234e-06 +35:12:05.68271005 4.9899419836306716e-05 Miller-Jones
57539.4317 19:58:21.67067130 2.6008127788245346e-06 +35:12:05.68252045 4.552511834141675e-05 Miller-Jones
57540.42896 19:58:21.67067462 2.5112481179739597e-06 +35:12:05.68250045 4.291060591508817e-05 Miller-Jones
57541.42623 19:58:21.67067635 2.5459693853901663e-06 +35:12:05.68255655 4.459785196621021e-05 Miller-Jones
57542.4235 19:58:21.67066786 2.5959029474280174e-06 +35:12:05.68260435 4.6598971018682375e-05 Miller-Jones
